product,Calories,Fat Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein,menu_item,Fast Food Chain
Tripleberry Smoothie  Large,460,0,0,0,0,0,180,107,2,104,8,Premium Fruit Smoothies,Dairy Queen
Tripleberry Smoothie  Medium,370,0,0,0,0,0,135,87,2,84,6,Premium Fruit Smoothies,Dairy Queen
Tripleberry Smoothie  Small,280,0,0,0,0,0,90,66,1,65,4,Premium Fruit Smoothies,Dairy Queen
Tripleberry Smoothie  XLarge,660,0,0,0,0,0,220,153,3,149,10,Premium Fruit Smoothies,Dairy Queen
Orange Julius  Large,400,0,0,0,0,0,70,99,0,95,2,Julius Originals,Dairy Queen
Orange Julius  Medium,260,0,0,0,0,0,45,65,0,62,1,Julius Originals,Dairy Queen
Orange Julius  Small,200,0,0,0,0,0,35,50,0,48,1,Julius Originals,Dairy Queen
Strawberry Banana Julius  Large,670,90,9,9,0,0,150,146,4,129,3,Julius Originals,Dairy Queen
Strawberry Banana Julius  Medium,460,60,7,7,0,0,105,99,3,86,2,Julius Originals,Dairy Queen
Strawberry Banana Julius  Small,330,40,4.5,4.5,0,0,75,71,2,64,1,Julius Originals,Dairy Queen
Banana  Shake Malt,40,0,0,0,0,0,0,10,1,5,0,Mobile Add Ons,Dairy Queen
Brownie Pieces  MediumLarge Blizzard,120,60,6,3,0,5,95,17,1,9,1,Mobile Add Ons,Dairy Queen
Brownie Pieces  MiniSmall Blizzard,60,30,3,1.5,0,0,50,8,1,5,1,Mobile Add Ons,Dairy Queen
Butterfinger Pieces  MediumLarge Blizzard,170,60,7,3.5,0,0,90,24,1,14,3,Mobile Add Ons,Dairy Queen
Butterfinger Pieces  MiniSmall Blizzard,80,30,3.5,1.5,0,0,45,12,1,7,2,Mobile Add Ons,Dairy Queen
Caramel Topping  MiniSmall Blizzard,45,5,0.5,0,0,0,25,10,0,7,0,Mobile Add Ons,Dairy Queen
Caramel Topping  Sundae Shake Malt Moolatte MediumLarge Blizzard,90,10,1,0.5,0,5,45,20,0,14,1,Mobile Add Ons,Dairy Queen
Cheesecake Pieces  MediumLarge Blizzard,100,60,6,3.5,0,25,85,9,0,6,2,Mobile Add Ons,Dairy Queen
Cheesecake Pieces  MiniSmall Blizzard,50,30,3,2,0,15,40,5,0,3,1,Mobile Add Ons,Dairy Queen
Choco Chunks  MediumLarge Blizzard,70,40,4.5,4,0,0,0,9,1,7,1,Mobile Add Ons,Dairy Queen
Choco Chunks  MiniSmall Blizzard,35,20,2.5,2,0,0,0,4,0,4,0,Mobile Add Ons,Dairy Queen
ChocolateTopping  MiniSmall Blizzard,50,0,0,0,0,0,15,12,0,11,0,Mobile Add Ons,Dairy Queen
ChocolateTopping  Sundae Shake Malt MediumLarge Blizzard,90,0,0,0,0,0,30,22,1,20,0,Mobile Add Ons,Dairy Queen
Cookie Dough Pieces  MediumLarge Blizzard,290,120,14,6,0,5,210,42,1,24,2,Mobile Add Ons,Dairy Queen
Cookie Dough Pieces  MiniSmall Blizzard,150,60,7,3,0,0,105,21,0,12,1,Mobile Add Ons,Dairy Queen
Fudge  MediumLarge Blizzard,100,40,4,4,0,0,50,15,1,13,1,Mobile Add Ons,Dairy Queen
Fudge  MiniSmall Blizzard,50,20,2,2,0,0,25,7,0,7,0,Mobile Add Ons,Dairy Queen
MMs Candies  MediumLarge Blizzard,180,60,7,4.5,0,5,25,27,1,24,2,Mobile Add Ons,Dairy Queen
MMs Candies  MiniSmall Blizzard,90,30,3.5,2,0,0,15,14,0,12,1,Mobile Add Ons,Dairy Queen
OREO Cookie Pieces  MediumLarge Blizzard,180,80,9,3,0,0,115,27,1,17,1,Mobile Add Ons,Dairy Queen
OREO Cookie Pieces  MiniSmall Blizzard,120,50,6,2,0,0,75,18,0,11,1,Mobile Add Ons,Dairy Queen
Peanut Butter Topping  MiniSmall Blizzard,45,35,4,0.5,0,0,45,2,0,1,1,Mobile Add Ons,Dairy Queen
Peanut Butter Topping  Sundae Shake Malt MediumLarge Blizzard,120,90,10,1.5,0,0,115,6,1,2,2,Mobile Add Ons,Dairy Queen
Pineapple Topping  Sundae,30,0,0,0,0,0,0,7,0,7,0,Mobile Add Ons,Dairy Queen
Reeses Peanut Butter Cup Pieces  MediumLarge Blizzard,180,90,10,3.5,0,5,125,20,1,18,4,Mobile Add Ons,Dairy Queen
Reeses Peanut Butter Cup Pieces  MiniSmall Blizzard,90,45,5,2,0,0,60,10,1,9,2,Mobile Add Ons,Dairy Queen
Shredded Cheese,60,40,4.5,2.5,0,15,85,1,0,0,3,Mobile Add Ons,Dairy Queen
Strawberry Topping  MiniSmall Blizzard,25,0,0,0,0,0,10,7,0,6,0,Mobile Add Ons,Dairy Queen
Strawberry Topping  Sundae Shake Malt MediumLarge Blizzard,60,0,0,0,0,0,15,14,1,13,0,Mobile Add Ons,Dairy Queen
Vanilla Syrup  Shake Malt MooLatte,25,0,0,0,0,0,0,6,0,6,0,Mobile Add Ons,Dairy Queen
